1 - HANA,6789,136
2 - ALEXEY,410,9
3 - MAIN TITLE,7,1
4 - COURIER,454,10
5 - YOUNG GIRL,238,5
6 - TEXT ON PHONE,64,2
7 - JEN,3645,73
8 - BOX SIGN,6,1
9 - SIGN,14,1
10 - TEXT ON COMPUTER,424,9
11 - OMNIA,1431,29
12 - LANDLORD,273,6
13 - GAME VOICE,24,1
14 - TEXT ON BOX,9,1
15 - TEXT ON TROPHY,18,1
16 - TEXT ON TAG,23,1
17 - POLICE1,210,5
