1 - CASS,17210,345
2 - ANDREW,1395,28
3 - JOHN,1883,38
4 - MATTHEW,6929,139
5 - REPORTER,581,12
6 - RACHEL,4726,95
7 - SUSIE,984,20
8 - JACK,70,2
9 - NEWSCASTER,180,4
10 - SECURITY MAN,726,15
11 - DC LAWSON,3202,65
12 - GHOSTLY FEMALE VOICE,132,3
13 - DISPATCHER,12,1
14 - OFFICER,108,3
15 - MAN,90,2
16 - ALEX,681,14
17 - DR. DEAKINS,355,8
18 - ACTRESS ON TV,113,3
19 - DOCTOR,32,1
20 - AMY,411,9
21 - KATHERINE FUSSEY,842,17
