1 - MIRROR MAZE OWNER,12
2 - PUPPET,12
3 - ANNOUNCER,4
4 - PETER,2
5 - VOICES (female),1
6 - VOICES (Male),3
7 - GESA,61
8 - FRIDO,103
9 - MRS PIETSCH,1
10 - BOCKI,4
11 - JARO,7
12 - EMILS MOTHER,26
13 - EMIL,60
14 - KLAWITTER,81
15 - SEBI,34
16 - DUNJA,20
17 - MICHAEL,27
18 - FRIDO II,53
19 - OTTO,9
20 - JULI,2
21 - MAN,2
22 - GESA (sings),4
23 - CLASS,7
24 - KLAWITTER?,25
25 - JULI?,4
26 - FRIDO II?,14
27 - SEBI?,9
28 - FRIDO?,35
29 - DUNJA?,5
30 - ALL,4
31 - HANDY,1
32 - GESA?,11
33 - EMILS MOTHER?,3
34 - EMIL?,23
35 - EMIL II,14
36 - WALLA,2
37 - BOLLHAFF,3
38 - EMIL II?,5
39 - JARO?,3
40 - BOLLHOFF,1
41 - FRIDO/EMIL,1
42 - SEBI'S FATHER,3
43 - PHONE RECORDING,2
44 - DIRECTOR,7
45 - DIRECTOR?,5
46 - MALE,1
47 - FEMALE,0
48 - EMIL'S MOTHER?,4
49 - EMIL'S FATHER,1
50 - SEBI’S FATHER,13
51 - BOY 3,1
52 - EMILS FATHER,2
53 - BOYS,0
54 - OTTO?,4
55 - SEBI II?,5
56 - OTTO II & SEBI II,3
57 - CLASSMATE II,1
58 - BOY 1,1
59 - BOY 2,1
60 - KIDS,2
61 - PUNK,2
62 - JULI II,11
63 - SEBI II,3
64 - DIALOGUE OFF,3
65 - GIRL,1
66 - DUNJA II?,3
67 - JULI II?,1
68 - PUPPET?,4
69 - GESA/MICHAEL,1
70 - OTTO II?,7
71 - OTTO II,5
72 - OTTO II + JULI II,1
"73 - DUNJA, JULI, OTTO",1
74 - ALL?,2
75 - DUNJA II,1
76 - EMIL/DUNJA?,1
77 - CLASS?,1
