#Role,Lignes,Nb charactères,Répliques
1 - Nelson,69,3664,92
2 - Jack,142,9436,236
3 - Davie,45,3718,93
4 - Gillian,60,4924,124
5 - Mick,24,1410,36
6 - Eva,12,662,17
7 - Nina,25,1238,31
8 - Figure,1,1,1
9 - Bianca,108,5859,147
10 - Tanya,14,498,13
11 - Cheryl,7,150,4
12 - Lopez,2,81,3
13 - Garcia,1,1,1
14 - Nick,1,1,1
15 - Tomas,6,88,3
16 - Arturo,6,104,3
17 - Roberto,13,750,19
18 - Mitch,1,1,1
19 - Bartender,7,209,6
20 - Sophia,7,148,4
21 - Officer,3,263,7
22 - Labeau,2,19,1
