1 - Skull Tattoo,15,404,11
2 - LIM Chun-ho,19,468,12
3 - PARK Woong-chul,223,6312,158
4 - Prison Officer,1,57,2
5 - Prison Governer 1,2,49,2
6 - Prisoner 2,1,21,1
7 - Prisoner 3,1,15,1
8 - Prisoner 4,1,24,1
9 - KO Yoo-sung,96,3299,83
10 - Prison Governer 2,7,255,7
11 - NAM Myung-suk,8,318,8
12 - OH Gu-tak,113,4365,110
13 - YOO Mi-young's,1,46,2
14 - YOO Mi-young,16,448,12
15 - Bus Driver,2,66,2
16 - Prison Of Bus Conv1,2,99,3
17 - Driver 1,1,22,1
18 - Driver 2,1,16,1
19 - Female Cop,5,166,5
20 - KWAK No-soon,153,4459,112
21 - Senior Cop,11,382,10
22 - KIM Chang-min,20,464,12
23 - Pickpocket,1,14,1
24 - Thug 1,1,20,1
25 - Thug 2,4,141,4
26 - CHO Dong-chul,48,2288,58
27 - UHM Jung-han,63,2744,69
28 - Gangs,2,26,1
29 - NAM Young-kyu,13,250,7
30 - YOON Chul-joo,37,1000,25
31 - Restaurant owner,1,49,2
32 - YOON's Underling,10,257,7
33 - Politician 1 (Hiker 1),4,125,4
34 - Politician 2 (Hiker 2),1,35,1
35 - Politician 3 (Hiker 3),1,58,2
36 - Hiker 4,1,23,1
37 - Hiker 5,1,31,1
38 - CHOI Sun-mi,10,197,5
39 - TEXT,1,26,1
40 - Pub Lady,1,11,1
41 - Thug 3,1,16,1
42 - CHO's crew 1,2,24,1
43 - CHO's crew,1,20,1
44 - CHO's crew 2,1,14,1
45 - PARK Sung-tae,24,763,20
46 - Constable,5,75,2
47 - Superintendent,2,52,2
48 - NOH Sang-sik,40,1649,42
49 - Panel 1,2,97,3
50 - Panel 2,1,27,1
51 - Panel 2|TEXT,1,78,2
52 - HAN Mi-jung,11,343,9
53 - Café Lady 1,1,13,1
54 - Café Customer 1,2,26,1
55 - Café Customer 2,1,17,1
56 - Nurse,1,9,1
57 - SWAT Team Leader,1,30,1
58 - Yoshihara,22,723,19
59 - Yoshihara's H,2,39,1
60 - Guard Post Gang1,2,50,2
61 - Guard Post Gang2,1,31,1
62 - Warehouse Gang,4,69,2
63 - CHO's crews,1,9,1
