#Role,Lignes,Nb charactères,Répliques
1 - SETANTA,4,239,6
2 - TEMAE,7,363,10
3 - QUARK,6,233,6
4 - REM,78,4994,125
5 - RAM,30,1805,46
6 - FANTÔME 1,2,73,2
7 - FANTÔME 2,1,1,1
8 - FANTÔME 3,1,1,1
9 - FANTÔME 4,1,1,1
10 - FANTÔME 5,1,1,1
11 - FANTÔME 6,1,1,1
12 - FANTÔME 7,1,1,1
13 - ROSWAAL,15,1378,35
14 - BLONDE YEUX VERTS,1,1,1
15 - SUBARU,68,6938,174
16 - MOLOSSE,10,140,4
17 - EMILIA,9,732,19
