#Role,Lignes,Nb charactères,Répliques
1 - Nelson,69,3460,87
2 - Jack,142,8911,223
3 - Davie,45,3587,90
4 - Gillian,60,4748,119
5 - Mick,24,1323,34
6 - Eva,12,620,16
7 - Nina,25,1147,29
8 - Figure,1,1,1
9 - Bianca,108,5539,139
10 - Tanya,14,459,12
11 - Cheryl,7,132,4
12 - Lopez,2,78,2
13 - Garcia,1,1,1
14 - Nick,1,1,1
15 - Tomas,6,73,2
16 - Arturo,6,89,3
17 - Roberto,13,714,18
18 - Mitch,1,1,1
19 - Bartender,7,191,5
20 - Sophia,7,130,4
21 - Officer,3,257,7
22 - Labeau,2,16,1
