1 - Skull Tattoo,15,73,404,346,388,330,404
2 - LIM Chun-ho,19,94,468,393,437,362,468
3 - PARK Woong-chul,223,1194,6312,5341,5996,5025,6311
4 - Prison Officer,1,12,57,46,55,44,57
5 - Prison Governer 1,2,10,49,41,45,37,49
6 - Prisoner 2,1,5,21,17,20,16,21
7 - Prisoner 3,1,3,15,13,13,11,15
8 - Prisoner 4,1,5,24,20,23,19,24
9 - KO Yoo-sung,96,608,3299,2787,3172,2660,3298
10 - Prison Governer 2,7,53,255,209,248,202,255
11 - NAM Myung-suk,8,60,318,266,306,254,318
12 - OH Gu-tak,113,785,4365,3693,4206,3534,4364
13 - YOO Mi-young's,1,7,46,40,45,39,46
14 - YOO Mi-young,16,81,448,383,424,359,448
15 - Bus Driver,2,12,66,56,62,52,66
16 - Prison Of Bus Conv1,2,19,99,82,94,77,99
17 - Driver 1,1,5,22,18,20,16,22
18 - Driver 2,1,4,16,13,15,12,16
19 - Female Cop,5,31,166,140,156,130,166
20 - KWAK No-soon,153,815,4459,3797,4244,3582,4459
21 - Senior Cop,11,75,382,318,366,302,382
22 - KIM Chang-min,20,93,464,391,436,363,464
23 - Pickpocket,1,3,14,12,13,11,14
24 - Thug 1,1,3,20,18,19,17,20
25 - Thug 2,4,25,141,120,132,111,141
26 - CHO Dong-chul,48,404,2288,1932,2202,1846,2288
27 - UHM Jung-han,63,479,2744,2328,2645,2229,2744
28 - Gangs,2,4,26,24,22,20,26
29 - NAM Young-kyu,13,49,250,214,233,197,250
30 - YOON Chul-joo,37,176,1000,861,945,806,1000
31 - Restaurant owner,1,7,49,43,47,41,49
32 - YOON's Underling,10,50,257,217,236,196,257
33 - Politician 1 (Hiker 1),4,21,125,108,118,101,125
34 - Politician 2 (Hiker 2),1,7,35,29,34,28,35
35 - Politician 3 (Hiker 3),1,11,58,48,56,46,58
36 - Hiker 4,1,5,23,19,22,18,23
37 - Hiker 5,1,5,31,27,30,26,31
38 - CHOI Sun-mi,10,37,197,170,184,157,197
39 - TEXT,1,2,26,25,26,25,26
40 - Pub Lady,1,2,11,10,10,9,11
41 - Thug 3,1,3,16,14,15,13,16
42 - CHO's crew 1,2,5,24,21,21,18,24
43 - CHO's crew,1,3,20,18,19,17,20
44 - CHO's crew 2,1,3,14,12,13,11,14
45 - PARK Sung-tae,24,143,763,644,727,608,763
46 - Constable,5,16,75,64,70,59,75
47 - Superintendent,2,10,52,44,50,42,52
48 - NOH Sang-sik,40,284,1649,1405,1590,1346,1649
49 - Panel 1,2,15,97,84,94,81,97
50 - Panel 2,1,5,27,23,26,22,27
51 - Panel 2|TEXT,1,12,78,67,76,65,78
52 - HAN Mi-jung,11,70,343,284,328,269,343
53 - Café Lady 1,1,2,13,12,12,11,13
54 - Café Customer 1,2,4,26,24,22,20,26
55 - Café Customer 2,1,4,17,14,15,12,17
56 - Nurse,1,2,9,8,8,7,9
57 - SWAT Team Leader,1,6,30,25,28,23,30
58 - Yoshihara,22,132,723,613,696,586,722
59 - Yoshihara's H,2,6,39,35,33,29,39
60 - Guard Post Gang1,2,8,50,44,47,41,50
61 - Guard Post Gang2,1,5,31,27,30,26,31
62 - Warehouse Gang,4,15,69,58,66,55,69
63 - CHO's crews,1,2,9,8,7,6,9
