ÍCARO	Vai conhecer o Agulhas, não é o maior, mas é agitado. 	
ANDRÉ E PONTOCOM 	... Fala agora que você sabe demais 

PONTOCOM	(VOZERIO) 

FALCÃO	Hum, eu perdi, assumo. 

ANDRÉ	Vai, Clara. 

FALCÃO	Hum. 

PONTOCOM	Ficou ruim "pra" (para) ele. 

ANDRÉ	Oi? 

PONTOCOM	É ruim "pra" (para) caramba. (RISOS) 

ANDRÉ	É timo uma aula de sinuca.

PONTOCOM	(RISOS)  

PONTOCOM	Vai, Clara, o vermelho embaixo. 

CLARA	Bom. 

FALCÃO	(VOZERIO) 

CLARA	Ih. 

ANDRÉ	Quase lá. 

CLARA	Como sempre. 

ANDRÉ	Como sempre, não senhora. 

CLARA	Não, não ia ser diferente dessa vez. 

FALCÃO	Tu viu quem é que tá ali? 

CLARA	Eu vi. 

FALCÃO	Viu, né? 

CLARA	Sim. Licença. 

