ÍCARO	Vai conhecer o Agulhas, não é o maior, mas é agitado. 	
RECEPTOR	(REAC) Não. Oscar. Oscar, Ô, Oscar. O Oscar que pagou pelo roubo. (REAC)  

VERÔNICA	Tá maluca? 

LUIZA	Hmm. 

VERÔNICA	Quer ser presa aqui dentro? Anda, que você nem fuma mais, anda, passa. 

LUIZA	Tá. 

VERÔNICA	Vai. 

VERÔNICA	(REAC) 

LUIZA	Bom dia. 

VERÔNICA	Bom dia. 

MARIANA	Bom dia. 

VERÔNICA	A minha cliente também não concorda com a cláusula dois, ponto, nove; o menor só poderá viajar com sua mãe, com prévia autorização do pai. 

LUIZA	(REAC) 

VERÔNICA	Isso é descabido, Excelência. 

MARIANA	Segundo a psicóloga da escola, o Yan tá com deficiência de atenção, claramente provocada pela falta de estrutura quando sob a tutela da mãe. 

LUIZA	Claramente segundo quem? 

VERÔNICA	Excelentíssima, o que a minha cliente propõe, é uma estrutura de guarda compartilhada, que se adeque a vida de ambos os pais. 

GILBERTO	E por que não uma estrutura de guarda que seja boa pro Yan? 

NATALIE	Eu estou parando de usar ouro, a partir de hoje. Porque a minha riqueza, é de outra ordem.

LUIZA	(RISO)

FALCÃO	(webcam) Meninas, e não são só os vídeos não, tem um bocado de gente escrevendo, "pra" (para) preservar a floresta...

LUIZA	(RISO)

FALCÃO	(webcam) ... Gente chamando a gente de comunista...

FALCÃO	A “porra” tá virando aqui, minha filha. 

VERÔNICA	Hum. 

NATALIE	(RISOS) 

FALCÃO	(webcam) (RISOS) 

LUIZA	Todo mundo comunista. 

NATALIE	É, demais. 

LUIZA	Agora eu juro, que não imaginava que a galera usasse tanto ouro. 

ANDRÉ	“Ouro”

FALCÃO	(RISO)

ANDRÉ	Não, a maioria aí deve ser bijuteria, mas o que vale é intenção. (RISO) 

NATALIE	(webcam) Ai, André! (RISOS) Gente é o seguinte; eu tive pessoalmente com o Felipe, e ele é o nosso delator.  

FALCÃO	O Felipe!

CLARA	Caramba!

NATALIE	(webcam)  Vocês fizeram um ótimo trabalho. 

ANDRÉ	Boa, galera!

PONTOCOM	Boa, notícia boa! 

FALCÃO	E da onde é que você arrancou...  Ele te contou tudo?

NATALIE	(webcam) O relevante "pra" (para) nossa investigação não, porque ele tá com medo, né? Primeiro ele precisa estar seguro, fora do país. 

VERÔNICA	(webcam) Todo mundo sabe que a liminar pode cair a qualquer momento. A entrevista da Nati ajudou, mas TRF marcou o julgamento "pra" (para) daqui há cinco dias. 

CLARA	Eu tenho uma informação adicional; quando a gente estava no leilão, a gente ouvi uns caras falando...

CLARA	(webcam) Que tem uma nova mina, que tá sendo explorada aqui dentro da reserva. Uma mina que vai ser maior do que Serra Pelada; Eldorado. 

ANDRÉ	(webcam)  Não, e assim, com uma mina desse tamanho, galera...  

ANDRÉ	A, a devastação é de calculo exponencial. 

CLARA	(webcam) Sim. 

NATALIE	É, isso explicaria muita coisa. Dá "pra" (para) saber em nome de quem tá esse título de posse, Vê?

VERÔNICA	Teoricamente sim, só que a gente não pode esquecer, que essa informação vem de um explorador de meninas. 

CLARA	(webcam) A gente pode pelo menos tentar?  

VERÔNICA	Ok, tenta, mas não se apega à isso, tá? Que pode ser uma pista falsa. Eu quero saber qual é o plano “A”? 

NATALIE	O Plano “A”...

NATALIE	(webcam) ... É, com a ajuda do Greg, tirar o Felipe do país, deixar ele seguro e fazer ele falar. 

VERÔNICA	E ele já topou isso? 

NATALIE	Ele vai topar. 

LUIZA	Não, não é nada demais também. Eu queria te pedir uma coisa, eu queria ficar agora um pouquinho mais aqui, "pra" (para) ficar mais perto do Yan, que ele tá sentindo a minha falta. 

NATALIE	Claro, claro, você tá certa. O quê que ficou determinado ontem? 

LUIZA	Ele vai conversar agora com uma Assistente Social. 

NATALIE	Você vai deixar? 

LUIZA	Foi uma determinação da justiça. 

NATALIE	E você acha justo isso, botar na conta do Yan? Você acha que ele não vai perceber, que ele vai ter que escolher? 

LUIZA	Não. Não... Também eu não tinha pensado desse jeito. 

NATALIE	(BEBE)

LUIZA	E você? 

NATALIE	O que? 

LUIZA	Tá tudo bem? 

NATALIE	Tá. 

LUIZA	Como é que tá com o Amir? 

NATALIE	(REAC) Ah tá... Daquele jeito. (RISO)

LUIZA	O que? 

NATALIE	Eu sei lá. (REAC) Ah o Amir tá daquele jeito lá. 

LUIZA	Hum? 

NATALIE	Ele, ele fez um negócio aí que foi, foi “foda” (COME). Hum, ele, ele desfez o quarto da Letícia enquanto eu estava fora. 

LUIZA	O quarto da Letícia ainda estava montado? Nati. Vem cá. 

NATALIE	(REAC) 

LUIZA	Calma, que não... 

LUIZA	(off) Mas ela é chata por quê? 

YAN	Porque ela diz que enquanto não terminar o lanche, não pode sair da sala. 

LUIZA	Ah, mas isso faz sentido, né, Yan? 

YAN	“Uhum” (NEGATIVA)

LUIZA	Ah? 

YAN	Mas o quê é mais importante? 

LUIZA	Comer ou brincar? Ai... (REAC) Bom, se a pessoa não come, ela não vai ter energia "pra" (para) brincar, né? E a gente? 

YAN	(REAC) 

LUIZA	O quê é que o senhor quer comer hoje, vamos jantar o que? 

YAN	Nada, porque a gente vai ficar aqui, juntinho. 

LUIZA	(RISO)

CLARA	(off) A Verônica é muito brava, cara. 

FALCÃO	(REAC) Sim, mas tu viu a reação dela, quando tu falou? 

CLARA	Sim. Ajudou ela estar há mil quilômetros de distância. 

FALCÃO	(RISOS) 

RAMIRO	Ei! 

CLARA	Ramiro, o quê que você tá fazendo aqui, você não falou que ia embora? 

RAMIRO	Nossa! Oi, tudo bom? Deixa eu te apresentar; essa aqui é a Vanessa, minha namorada. 

VANESSA	Oi, tudo bem? (BEIJO) 

RAMIRO	Vamos tomar uma cervejinha lá, Neguinha? 

VANESSA	Bora!

RAMIRO	Tá. Bom te ver, é sempre bom. 

CLARA	(REAC) 

FALCÃO	Tu tá bem? 

CLARA	Não, no carro eu te conto. Vamos. 

FALCÃO	Calma, Clara. Ei, vem cá. 

MIGUEL	Vai ficar bem bonito, Gabi. 

GABI	Vai mesmo. 

FELIPE	Olá, com licença. 
GABI	Oi. 

MIGUEL	Oi, Felipe. Que bom que você veio. 

FELIPE	Tudo bem, Gabi? (BEIJO) 

GABI	Tudo. 

FELIPE	Você tá linda, sabia? 

GABI	Você que é... Amor. 

FELIPE	Ah, obrigado. (RISO)

CUIDADORA GABI	Vem, Gabi. 

GABI	Ah não. 

CUIDADORA GABI	Vem, Gabi. 

GABI	(BALBUCIA AO FUNDO)

MIGUEL	(REAC) Ela gosta muito de você. 

FELIPE	Como é que ela tá? 

MIGUEL	O doutor Ruy disse que ela precisa de um ambiente tranquilo "pra" (para) seguir evoluindo. 

 FELIPE	Ótimo, Miguel. 

MIGUEL	Mas antes de viajar, eu precisava esclarecer algumas coisas com você.  

FELIPE	Claro, eu trouxe os últimos levantamentos, Miguel. 

MIGUEL	Não, não é sobre a KM. 

FELIPE	Aconteceu alguma coisa? 

MIGUEL	Felipe, eu não sei se você notou, mas desde que a Karen morreu, eu passei a enxergar em você, um membro da nossa família. Eu abri as portas da minha casa "pra" (para) você, minha neta abriu o coração dela "pra" (para) você. 

FELIPE	Eu sou imensamente grato por isso, Miguel. 

MIGUEL	Você, mais do que ninguém, sabe que a minha neta só tem a mim. 

FELIPE	A Gabi sempre vai poder contar comigo. 

MIGUEL	Era o que eu achava. E achava também que você percebia o me esforço, "pra" (para) deixar um legado "pra" (para) ela. 

FELIPE	Eu posso compreender a sua preocupação. 

MIGUEL	Mas não concorda com os meus métodos. 

FELIPE	A Karen também não concordava, Miguel. 

MIGUEL	A minha filha confiava em mim. 

FELIPE	Não, a sua filha tinha medo de você. 

MIGUEL	É uma pena que as coisas tenham chegado a esse ponto. 

FELIPE	Por que é que você me trouxe até aqui? 

MIGUEL	Eu só queria me despedir de você. (REAC) 

FELIPE	(REAC) 

FALCÃO	Ah, você vai lá, e eu vou ficar fingindo aqui, que eu estou falando no telefone, tá? 

CLARA	Tá bem. 

FALCÃO	Tá? 

CLARA	Obrigada. 

FALCÃO	Vai. 

CLARA	Olá. 

ATENDENTE 1 	Eu posso ajudar? 

CLARA	O meu nome é Clara Ferreira, eu estou fazendo um trabalho de mapeamento "pra" (para) faculdade, a respeito da linhagem de posses de toda região. 

ATENDENTE 1	E? 

CLARA	E eu preciso de algumas informações públicas, que estão nessas prateleiras. 

ATENDENTE 1	Você vai ter que voltar outro dia, o meu assistente responsável por esse trabalho, ele não veio hoje e eu não vou conseguir te acompanhar. 

CLARA	Tudo bem eu procuro, o meu professor tá aqui, ele pode me ajudar. 

ATENDENTE 1	Não, moça, você vai ter que voltar um outro dia mesmo. 

CLARA	O Estado não pode negar informação pública pro cidadão, é contra a lei. As informações que eu preciso estão datadas aqui, nesses livros, é só uma questão de pegar. 

ATENDENTE 1	(REAC) 

CLARA	A senhora pega então? 
 
FALCÃO	E o prêmio de melhor atriz vai para...

CLARA	(RISO)

FALCÃO	... Clara Ferreira! Boa! (REAC) Sabe um negócio que eu estava pensando? Aquilo que tu me falou no carro, é sério? Eu queria muito saber como é que a gente podia resolver essa questão com teu ex? 

CLARA	Eu não tenho tempo "pra" (para) ele agora. 

FALCÃO	Tá, mas ele tem todo tempo do mundo "pra" (para) tu, né? 

CLARA	Falcão, eu só quero que ele vá embora. 

FALCÃO	Clara, tu não percebe que esse cara... Tu não percebe que esse cara não vai embora? Que veio aqui por conta de tu? Por que tu não falou "pra" (para) teus pais, que esse cara te batia?  

CLARA	(REAC) Porque o meu pai achava mais importante eu me casar com ele. Falcão, olha! 

FALCÃO	É isso aqui? Deixa... 

CLARA	Segura aqui. 

FALCÃO	Abre, abre aí "pra" (para) gente ver. 

CLARA	Eu já vou abrir. 

FALCÃO	Não, guarda aí. 

CLARA	Segura aí "pra" (para) mim, fazendo... Eu já vou.  

FALCÃO	Onde é... Clara. (REAC) 

FALCÃO	É brincadeira um negócio desse, agora a gente saindo fugindo dos canto. Quando não é um, é outro...  


FALCÃO	Eu não abro mais esse negócio não. Pelo amor de Jesus Cristo, eu não sei mais o que eu faço não, isso é castigo de Deus. Tu tá andando muito com Luiza, visse? Andando muito com Luiza, uma eu aguento, duas não, pelo amor de Deus! 

CLARA	Tá aqui! 

FALCÃO	Já é demais. 

CLARA	Tá aqui, na Reserva de Cari. O maior loteamento de terras, apelidado de Eldorado, estava no nome de...

FALCÃO	(REAC) 

CLARA	... Robson Nunes, até março, em abril mudou para Gabriela K. Monteiro. (REAC) 

FALCÃO	Me diz que tu tem o endereço disso aí. 

CLARA	Tem, tem, tem, tem. 

FALCÃO	“Bora, bora, bora”. 

CLARA	Oi, moça. Tudo bem? 

MULHER 1	Eu posso ajudar? 

CLARA	A gente veio visitar o Robson, ele tá? 

MULHER 1	Vocês são amigo dele?

CLARA	Não, não, os meus pais são, de muito tempo atrás. 

MULHER 1	Ele tá desaparecido.  

FALCÃO	(REAC) 

NATALIE	(off) É esse aqui, prepara esse e-mail, manda hoje (on) esse e-mail, hoje à noite no máximo. A gente tem que marcar essa reunião esse mês ainda. Não dá "pra" (para) ficar sem reunião de orçamento. Põe a Juliana na lista também. Manda o...

FELIPE	(REAC) 

NATALIE	Felipe? 

FELIPE	Eu preciso de ajuda. Natalie, eu preciso de ajuda. 

NATALIE	(REAC) Felipe? 

FELIPE	Eu preciso... (REAC) Ele sabe. 

NATALIE	Não. 

FELIPE	Eu acho que o Miguel já sabe. (REAC) 

NATALIE	Se você acha que ele sabe...

FELIPE	(REAC) 

NATALIE	... Então agora ele tem certeza...

FELIPE	(REAC) 

NATALIE	... Cara, você podia estar aqui! 

FELIPE	Eu não sei em quem que eu posso confiar, eu não sei o que fazer! 

NATALIE	Calma, calma. 

FELIPE	(REAC) 

NATALIE	Tá, a gente vai arrumar a sua saída. 

FELIPE	Puta, que merda. 
NATALIE	Calma. 

FELIPE	Que merda, eu não podia ter vindo aqui. 

NATALIE	Olha "pra" (para) mim, me escuta. 

FELIPE	(REAC) 

NATALIE	Me escuta. 

FELIPE	(REAC) 

NATALIE	Você vai "pra" (para) um hotel, tá bom? E vai aguardar o meu contato. 

FELIPE	Não, calma, calma, calma. 

NATALIE	Se acalma. 

FELIPE	Calma, eu preciso, preciso passar em casa, eu preciso pegar, pegar roupa, pegar passaporte...

NATALIE	Felipe, não...

FELIPE	(REAC) 

NATALIE	... Não vai "pra" (para) casa, vai "pra" (para) um hotel. 

FELIPE	(REAC) Tá. 

NATALIE	(REAC) 

FELIPE	(REAC) Você precisa me ajudar. (REAC) 

NATALIE	Eu vou te ajudar. 

FELIPE	A gente precisa consertar isso. 

NATALIE	Tá eu vou te ajudar, vai "pra" (para) esse hotel.

FELIPE	(REAC TENSO) 

FALCÃO	Oh, tá vendo? 

CLARA	Pode ser aqui. Rua Vitor Silveira, número quinhentos. Vira à esquerda ali. 

FALCÃO	(REAC) Tá. 

CLARA	Vai. 

FALCÃO	Só falta essa Gabriela K. Monteiro, estar desaparecida também, aí termina de lascar tudo e a gente “morre na praia” (finaliza sem sucesso). 

CLARA	No rio, literalmente. É ali! 

FALCÃO	Eu não vendo também. 

CLARA	É ali, Falcão. 

FALCÃO	(REAC) 

CLARA	Qual o nome da neta do Miguel mesmo? 

VERÔNICA	(off) Bom, isso explica muita coisa. (on) O Robson descobriu (on) a área, o Miguel se fingiu de amigo, tomou a área dele e depois sumiu com o cara. Bom trabalho, Clara! (RISOS) Beijo.   

CLARA	(RISO)

FALCÃO	Levou uma “comida de rabo” (bronca) não foi? 

CLARA	“Bom trabalho, Clara!” (RISOS) 

FALCÃO	Ah, sério? Ah! (RISOS)

CLARA	(RISOS) 

FALCÃO	Vem cá, me dá um abraço aqui.  

NATALIE	A sua mãe ficava ali, em cima da árvore, e a gente ficava aqui embaixo assim. 

LUIZA	Quantos anos a gente tinha? 

NATALIE	Treze? 

LUIZA	Não, eu tinha no máximo dez. 

NATALIE	Não, eu tinha treze. 

LUIZA	Ah bom. (RISOS) 

NATALIE	(RISOS) Aí depois de alguns dias, vieram os guardas, disseram que a gente não podia mais ficar aqui, que ia virar estacionamento. 

YAN	Mas vocês não deixaram, né? 

NATALIE	O quê que você acha? 

YAN	Não. 

NATALIE	Não. 

YAN	(RISOS) 

NATALIE	(RISOS) 

LUIZA	(RISO) Aí a Natalie filmou tudo, conseguiu colocar na tevê, tanta gente veio apoiar. 

NATALIE	É mesmo. 

YAN	Eu quero subir lá. 
  	
LUIZA	Bora! 	

NATALIE	Será que você consegue, Yan? 

LUIZA	Claro que consegue! 

NATALIE	Olha! 

LUIZA	(RISOS) Tá confortável? 

YAN	Não! 

AMBAS	(RISOS) 

VERÔNICA	Oi, Yan. 

NATALIE	Chegou. 

VERÔNICA	Tá gostando? 

NATALIE	(RISO) O que é que foi? 

VERÔNICA	Lú. 

LUIZA	(REAC) 

VERÔNICA	Bom, a Clara descobriu um título de posse, já com autorização do Departamento Nacional de Produção Mineral, "pra" (para) exploração de uma área dentro da reserva. Essa área estava em nome De Robson Nunes, esse cara tá desaparecido, só que antes dele desaparecer, ele passou a área pro nome de Gabriela Kiriakos Monteiro. 

NATALIE	Neta do Miguel. 

VERÔNICA	Parece que é uma área com muito ouro, os garimpeiros estão chamando de Eldorado. Uma exploração mecanizada desse porte, pode criar um impacto ambiental de quilômetros. 

