Time stamp	4.00pm
Kai	That's how I fish

Kai	That's what my grandfather taught me

Kai	That's what I like

Kai	It's heaven to me

Fah	It sounds very peaceful

Kai	You should try it

Fah	Maybe one day

Fah	We're here!

Fah	Do you want me to park in front?

Kai	Yeah, park in front

Fah	Ok

Kai	I'll be back soon A man said What the fuck!

Kai	I know you speak English

Kai	This is for Lisa A man said Who the fuck is….. Place Thonglor Police Station

Kai	You're still here

Fah	To be honest, I thought about leaving

Kai	You saw I left the bag


Kai	Did you open it?

Kai	But you know there's cash inside

Fah	Was it a test?

Fah	Oh my God! What happened to your head?

Kai	I tripped Hit the wall

Fah	You need stitches maybe 3 or 4

Kai	No, I'm fine thank you

Fah	Are you sure it's a deep cut

Kai	I'm sure

Fah	All right

Fah	breathe

Kai	And no it wasn't a test

Kai	Everything in life is about making choices

Kai	I chose to leave the bag

Kai	You chose not to take it

Kai	Life is about making choices and dealing with those consequences

Kai	You understand that?

Fah	I understand

Kai	Are you hungry?

Kai	Let's get something to eat We have some time

Fah	What do you feel like eating?

Kai	Something local

Fah	Well, I know just the place

Kai	Ok

Detective	I mean come on babe, who fucking kills a lawyer on a Friday night?

Detective Wife	Stop it! You're on the scene?

Detective	I'm actually just walking in now

Detective partner	Kai Kahale, American Hawiian, just arrived today, he came  straight here, he had an appointment, she lead him into the  victims office

Detective partner	next thing you know he asks for a taxi, she finds her boss shot dead, boom a bullit to the head, he walked out of here as if it were nothing

Detective partner	Guards confirmed it as well

Detective	Like I said cold blooded

Detective	Body slumped over

Detective	Blood splattered everywhere directly behind her

Detective	This Kai Kahale sat directly in front of her and shot her

Detective Wife	I'm looking at some ID. Seems to be real Arrived this evening 5pm from Haneda TG 614 Business class

Detective	Connecting flights, no alias?

Detective Wife	Kai Kahale, born 1954, retired, worked as a supervisor at a coffee plantation big one it seems

Detective	He shot her with a silencer, one shot he's definitely not an office worker


Detective	Get his picture out, send it to the airports and the borders

Detective	Who knows maybe we'll get lucky

Detective	All right get as much information as you can and drop me off at the office, I left my car there

Fah	Uncle, two of the usual please 

Noodle vendor	Sure

Fah	What would you like to drink?

Kai	Ah?

Fah	I recommend the chysanthemum tea  it's really refreshing, yeah

Kai	Perfect

Fah	Perfect

Fah	Uncle, two chysanthemum tea please

Noodle vendor	Go ahead

Fah	Thank you

Noodle vendor	Customer or boyfriend?

Fah	He's a customer

Noodle vendor	That's good

Noodle vendor	Because he looks older than your dad!

Fah	There you go

Kai	Thank you

Kai	You're a regular here?

Fah	Yeah, I try to come here two or three times a week depends on my ride

Fah	Good?

Kai	Good

Fah	Can I ask you a question now?

Kai	Anything

Fah	6000 dollars is a lot of money and anyone would do it for half or even less

Kai	Probably

Fah	But why 6000?

Kai	Because I wanted you to say yes and I wanted you to want to do it and be happy doing it.

Fah	Okay

Fah	But to be honest, I can just take half, it's more than enough for me.

Kai	No, we made a deal, we shook hands

Fah	Are you sure?

Kai 	Yes

Fah	Ok, thank you

Kai	You're welcome

Kai	As I said thank me after

Fah	After what?

Fah	Oh no, no, wait, you need to put some of this in first

Fah	Some nuts

Fah	Some, I don’t what you call this in English

Fah	But it will make it taste good

Fah	Do you like chilli?

Kai 	I do

Kai	Thank you

Fah	And then you need this, this is like the secret recipe, fish sauce

Kai	Fish sauce?

Fah	Ok done, dig in

Kai	Bon appetite

Fah	Bon appetite

Kai	Merci

Fah	Mmm smells so good

Fah	It's good right?

Kai	It's really good.

Fah	Hehe great

Fah	So, what's after this?

Kai 	After

Kai	W have a stop at a club

Fah 	Ah ha

Kai	Then we go to a hospital

Kai	And the last stop is at a house

Fah	You're meeting five people today?

Kai	No, seven

Kai	And you want to know why?

Fah	Hehe, yeah, sorry

Kai	It's ok, it's human nature

Kai	Not too long ago, my daughter and her family came to Thailand	

Kai	They got into an accidentKai The people I'll be seeing tonight were involved with it

Fah	I see

Fah	Are they ok?

Kai	No

Kai	They died

Fah	Oh

Fah	I'm, I'm sorry

Kai	It's ok

Fah	I was recently been in an accident as well

Fah	White family, they died too

Fah	Drunk driver

Kai	Happens everywhere in the world

Fah	They had a kid A child

Kai	I'm sorry

Kai	Thank you for bringing me here and for paying for dinner It was excellent

Fah	You're welcome and I'm sorry about the not so happy conversation

Kai	It's ok, it's life

Kai	Um

Kai	Do you know the Ibiza night club?

Fah	Yeah, is that our next destination?

Kai	Yes

Fah	Ok

Kai	A cross, you're not Buddhist?

Fah	No

