EM FAMILIA VO TCI EP 73-H264
21/04/2016

(BOUCLE 1 - 10:00:00:00)
		01

FELIPE	Le père de Bia... c'est Fernando.
CADOU	(h_______) Vous savez, (hh) ça n'a pas été facile pour moi d'accepter que vous soyez ensemble. Ce n'est un secret pour personne.

AMBIANCE	(ambiance bistrot VI______________________________________________________________________________________________________________________________________________________________________________________________________________________)

CADOU	Mais comment ne pas voir l'amour sincère que vous ressentez l'une pour l'autre. Je vous souhaite vraiment du fond du coeur d'être très heureuse ensemble.

MARINA	(sourire)

MARINA	(h_______) Est-ce qu'on peut considérer cette réponse comme un oui ?

CADOU	Oui. Qui peut refuser une demande aussi exceptionnelle que celle-ci ?

MARINA	(ah) (petit rire)

VERONICA	(rire______) Attendez... Et si on portait un toast !

CLARA	(rire______)

MARINA	Oui ! Bien sûr !

VERONICA	Champagne !

CLARA	Bonne idée !

MARINA	Champagne !

CADOU	Génial !

VERONICA	Quatre coupes s'il vous plaît.

CLARA	Venez, venez, par ici Monsieur.

CLARA	À l'amour.

CADOU	Et à l'amitié.

VERONICA	Et__ à la famille !

VERONICA	(petit rire)

MARINA	À la vie aussi.

CADOU	(petit rire)

MARINA	(petit rire)

IVAN	À la santé !

CADOU	(rire)

VERONICA	(rire_________________)

MARINA	(hé_________)

CLARA	Et à l'abondance les amis.

(BOUCLE 8 - 10:05:30:16)
		08

HELENA	Bonjour ma chérie.

LUISA	(mhuh)

LUISA	Bonjour maman. Tu vas bien ?

HELENA	Très bien, merci.

HELENA	(X)

HELENA	(ah__) Tu as envie que je t'apporte un un petit café mon amour ? Ou quelque chose à manger ?

LUISA	(rire____________)

HELENA	(petit rire___________)

LUISA	Non, c'est pas la peine Maman.

HELENA	(petit rire)

LUISA	(rire_______)

HELENA	(ah) Je vais dormir ici moi aussi.

LUISA	(rire_____________)

HELENA	Oui.

HELENA	Qu'est-ce qui te fait rire ?

LUISA	Tu me fais rire parce que (h_____) dès que tu viens discuter avec moi, la première chose que tu demandes c'est si je veux manger. (rire____________)

HELENA	Oui___, parce que je suis ta mère !

LUISA	Oui.

HELENA	Un truc de mamans.

LUISA	Voilà ! Et si j'acceptais tout ce que tu me proposais, je serais obè__se ! (rire)

HELENA	(o_______h) Tu exagères !

LUISA	(h______)

HELENA	Ça alors, tu as vu tous les ma___sques que tu entasses là-dedans. Une vraie collection.

LUISA	Il y en a beaucoup.

LUISA	(mhunhun)

LUISA	Tu te souviens quand j'étais petite, je demandais à ceux qui voyageaient, que ce soit famille ou amis, de me ramener un masque de l'avion. (rire______________________)

HELENA	(rire) Je m'en rappelle.

HELENA	Et quand tu les avais tu les mettais partout, même sur tes poupées !

LUISA	(rire_____________)

(BOUCLE 9 - 10:06:29:05)
		09

LUISA	(h_____) (ah) Maman tu sais, même si je te regarde pas dans les yeux, (h____________) je sais que tu es préoccupée.

HELENA	(ah_______)

HELENA	(hh____)

LUISA	(mhh_______)

HELENA	(mts)

HELENA	(h______)

HELENA	(hh)

HELENA	Ma chérie.

HELENA	C'est vrai, je suis préoccupée, oui. (h_____) Je ne le nie pas.

HELENA	(sourire)

LUISA	M'man,

LUISA	dis, tu l'aimes toujours Laerté ?

HELENA	Bien sûr que non.

LUISA	Mais imagine, que Laerté revienne dans ta vie et qu'il te cherche comme avant. Imagine qu'il te courre aprè___s et puis qu'il te dise que qu'il t'aime, qu'il t'a toujours aimé.

(BOUCLE 10 - 10:07:16:20)
		10

LUISA	Qu'il te demande pardon. (h____) Que ferais-tu, hein ?

HELENA	Je partirai en courant le plus loin possible. Pourquoi tu me demandes tout ça ?

LUISA	(mhh)

LUISA	Je sais pas.

LUISA	(sourire) C'est...

LUISA	(h_______)

LUISA	(hh________) Une chose insensée à laquelle j'ai pensé ces jours-ci.

LUISA	Tu crois que (h_________) cet amour que je ressens pour Laerté j'aurais pu l'hériter de toi ?

HELENA	(petit rire)

HELENA	C'est une pensée complètement insensée.

LUISA	(rire)

LUISA	Tu en es vraiment sûre Maman ?

LUISA	T'es sûre que c'est terminé avec lui ?

(BOUCLE 11 - 10:08:03:16)
		11

HELENA	Oui, absolument certaine.

LUISA	Alors laisse-moi sauter le pas. Laisse-moi vivre mon histoire.

HELENA	(X)

(BOUCLE 12 - 10:08:37:06)
		12

SILVIA	(ah) Chica, c'était délicieux ! Merci encore !

CHICA	(oh) Ma chérie, c'est vraiment le moins que je puisse faire lorsque je te reçois ici chez nous. D'ailleurs, j'ai préparé certaines choses spécialement pour toi Silvia (h) comme ces petites merveilles qui sont là !

SILVIA	C'est gentil.

SILVIA	(mhu_______h)

CHICA	(rire________________)

RICARDO	Vous savez Silvia, elle ne veut cacher à personne le bonheur qu'elle ressent d'avoir une belle-fille.

SILVIA	C'est très bon.

CHICA	(h___)

RICARDO	(petit rire)

CHICA	(a____h) Évidemment ! Je n'ai eu que des gendres !

SILVIA	Je comprends.

FELIPE	Quoi, comment ça ? Tu sais que tu me démoralises là.

CHICA	(ah) Mais arrête ! Allez, et puis je... Écoute, tout le monde a compris, Felipe. Alors ça suffit. (eum) Si je n'ai que des gendres c'est parce que mes filles se sont mariées. Alors que lui n'a jamais ramené personne à la maison. Je veux dire... en tout cas, rien de trè__________s sérieux.

SILVIA	(ro____h)

RICARDO	(petit rire)

SILVIA	Oui !

FELIPE	Non, non, non, non, non, non, non.

FELIPE	Madame Chica, on va en rester là ! C'est mieux comme ça ! Tu empires les choses. Silvia va finir par croire qu'elle est la sauveuse de mon pau_____vre coeur j'en suis certain !

SILVIA	(petit rire)

RICARDO	(rire____________________________)

CHICA	(rire__________________________________)

SILVIA	(rire___________)

SILVIA	Pourquoi pas ?

CHICA	(rire________)

SILVIA	(o_____h)

SILVIA	Ça alo__rs !

SILVIA	J'adorerais ça ! (rire)

CHICA	(petit rire)

SILVIA	Ça me ferait plaisir. (h) Tu vois, c'est le signe que tu m'as attendue moi et moi seule !

SILVIA	(petit rire)

FELIPE	Oui, aucun doute là-dessus !

SILVIA	(X)

SILVIA	(mhuh)

SILVIA	(X)

FELIPE	(X)

SILVIA	(X)

FELIPE	(X)

FELIPE	(sourire)

SILVIA	(h__) Vous savez Chica, Felipe m'a fait une proposition plutôt très tentante.

CHICA	Ah oui______ ?

SILVIA	Oui.

FELIPE	(mhuhuh)

FELIPE	On pense déménager à Goiania, M'man. On aime beaucoup cet endroit.

CHICA	(han_______)

(BOUCLE 13 - 10:09:37:12)
		13

CHICA	(oh_______) C'est génial !

FELIPE	C'est là-bas qu'on s'est rencontré tous les deux et puis on adore travailler dans hôpital de cette ville.

CHICA	(a_____h)

FELIPE	Comme ça on s'éloigne un peu de Rio.

FELIPE	(hi) Et bien ?

FELIPE	(rire)

RICARDO	C'est merveilleux, vraiment.

RICARDO	Ils se sont bien trouvés, ils aiment les nouvelles aventures !

CHICA	Oui !

FELIPE	(X)

SILVIA	(X)

CHICA	(ah) Et nous avons une maison à Goiania. Sachez qu'on la met entièrement à votre disposition.

FELIPE	(ah) Une petite minute. Tu... Tu vas nous céder ta maison, c'est vrai ?

SILVIA	(ah________)

CHICA	(hh) Comment ça "céder" Feli____pe ?  La maison est à vous, c'est notre patrimoine.

(BOUCLE 14 - 10:10:00:13)
		14

LUISA	Je sais bien que c'est toi sur cette photo. Mais j'arrive à m'y voir moi aussi. J'arrive à me reconnaître. (h_____) On voit clairement qu'il y a de l'amour entre vous deux.

MARINA	Merci, c'est très intéressant parce que c'est exactement l'idée que j'avais en tête lorsque j'ai voulu prendre cette photo. Je voulais, comment vous dire... (h_____) que les gens qui regardent cette photo se rappellent d'un souvenir, ou qu'ils se remémorent une émotion. Voilà, c'est ça que je voulais.

MARINA	(h) Et en parlant d'émotion personnelle, nous avons... celle-ci.

LUISA	(petit rire)

MARINA	(aïe aïe aïe) Émotion personnelle, hein Luisa !

LUISA	(ah) C'est pas vrai !

AMBIANCE	(petit rire)

MARINA	Allez-y tout le monde, regardez cette photo. Qu'est-ce qu'elle vous procure comme émotion ?

GISELLE	(rire) Je dois vous avouer que je me sens un peu tendue en la regardant.

LUISA	(ah) (rire____________)

MARINA	Tendue ?

URIEL	Oui, je suis d'accord avec Giselle. Mais la modè___le est, avec tout le respect que je lui dois, vraiment très belle.

URIEL	Luisa, on dirait un vrai mannequin !

LUISA	(oh) (rire)

(BOUCLE 15 - 10:10:56:08)
		15

LUISA	(rire____)

LAERTE	Je crois t'avoir demandé de ne pas exposer cette photo.

LAERTE	Luisa, quel est l'intérêt de participer à un cours de ce genre ?

LAERTE	Pourquoi tu es ici ? Pour... Pour qu'on te fasse des éloges ? Pour te voir en poster ?

LUISA	Maintenant ça suffit Laerté.

LAERTE	Viens je veux discuter avec toi. Viens !

LUISA	Mais qu'est-ce qu'il y a ?

MARINA	Laerté, ce n'est pas sa faute. C'est moi qui ai affiché la photo.

LAERTE	Tu as fait une erreur, mais elle aussi crois-moi.

LAERTE	Elle s'exhibe devant ses collègues, en pensant que je le vois pas.

LUISA	Laerté mais enfin arrête. Uriel est en couple avec Sandra !

URIEL	Je suis désolé, je voulais pas être irrespectueux.

