FELIPE	(AFLITO) 
ANDRÉ	É, gente, eu e a Clara, a gente conhece esse, esse sujeito, tá? Esse tal de Ícaro. Se vocês conseguirem distrair os seguranças, a gente vai atrás dele. 

VERÔNICA	Essa é a chave. 

ANDRÉ	Hein? 

VERÔNICA	A chave é essa aí, só que a gente precisa de uma boa ideia. 

GREGORY	A gente tem pouco tempo. 

ADELINO	E tá quase amanhecendo. 

FALCÃO	Eu tenho uma ideia, vai ser arriscado, vamos disfarçado, eu vou de fiscal, fiscal ambiental. 

NATALIE	(REAC) 

FALCÃO	Pontocom confecciona o crachá, vai você, Verônica, Gregory e eu. Os dois ficam dentro do barco. Primeira chance eles entram. 

NATALIE	Eu só vou falar com o Pontocom. (REAC) Não sai de perto do Felipe, tá? 

PONTOCOM	Relaxa, Nati, eu vou estar lá do lado dele, quando ele acordar. 

NATALIE	Se ele acordar. 

PONTOCOM	Ele vai acordar. Traz a Luiza de volta. 

NATALIE	(REAC) 

DÉCIO	Quando foi que você resolveu começar a trabalhar, hein, e não me avisou? 

RUBENS	Eu vim cobrar sua promessa. 

DÉCIO	(REAC) Rubens, “porra”,  a gente vai acabar tomando uma bala por causa disso. Oh o que fizeram com o Oscar. 

RUBENS	E com o Mosquito, com senhor Antônio, com o Otávio...

DÉCIO	Exatamente. 

RUBENS	Desembucha, Décio, desembucha. 

DÉCIO	(REAC) 

RUBENS	Ou esse vídeo vai vazar, e o próximo vai ser você. 

DÉCIO	Eu não sei se você tá sabendo, mas eu descobri uma banda podre aqui na polícia de Cari. 

RUBENS	Você tá querendo me dizer, que foram os seus policiais que mataram o Otávio? 

DÉCIO	Não, veja bem, eu não disse isso, eu disse que eu desconfio que os meninos podem ter se envolvido nisso, mas não são todos não, um ou dois. 

RUBENS	E você certamente é um deles. 

DÉCIO	“Porra”, tá querendo minha ajuda ou não quer? 

RUBENS	Eu quero nomes. 

DÉCIO	(REAC) Eu não tenho como provar isso. 

RUBENS	Nomes! 

DÉCIO	Número da viatura, te vira. (REAC) 

RUBENS	É bom você estar falando a verdade. 

DÉCIO	Ué? (REAC) 

RUBENS	Alô, Deise, Rubens, é. É, escuta, eu preciso do registro do GPS da viatura policial PC 27193, isso, nos dias quinze e dezesseis de março. Isso. Preocupa não, o delegado vai colaborar sim. 

HOMEM ALEATÓRIO	Esse vagabundo aí!

FALCÃO	Tem esse daí, chega em quatro horas e meia. 

NATALIE	Não, não dá, não dá "pra" (para) esperar tudo isso. 

FALCÃO	Nati, esse daí chega com uma hora e meia. 

NATALIE	Quanto? 

FALCÃO	Sete pau. 

ANDRÉ	Merda. 

NATALIE	(REAC) Pede pro Amir. 

VERÔNICA	Eu pago. Pode entrar todo mundo, que eu pago. Vamos lá. 

GREGORY	Vamos. 

ADELINO	Todo fiscal tem uma. (REAC) 

FALCÃO	Pode ligar. 

RUBENS	Bom dia, rapazes. 

CABO	Porra! 	

TAVARES	Porra, doutor. Desse jeito tu acaba tomando um tiro. 

RUBENS	Eu estou precisando falar com vocês um pouquinho. Você tem um minuto? Ótimo. Isso aqui é "pra" (para) você, isso é "pra" (para) você. Vocês sabem o quê que é isso? 

CABO	Não senhor. 

RUBENS	Isso é o trajeto feito por essa viatura, essa que a gente tá agora, nos dias quinze e dezesseis de março. Ali em cima, oh, que foram responsáveis por ela nessa noite. 

TAVARES	Eu não estou entendendo, doutor. 

RUBENS	Eu não sei se os senhores lembram, mas foi nessa data que o jornalista Otávio Mendes do Correio do Cari foi assassinado. 

TAVARES	Você não acha melhor o senhor ter essa conversa com o delegado. 

RUBENS	Eu fiquei muito surpreso, muito...
RUBENS	(off) ... Ao verificar aqui o GPS da viatura. Vocês, né, no caso. Ficaram aqui, estacionados, na noite do dia quinze de março, bem pertinho da casa do Otávio. 

