FELIPE	(AFLITO) 
PONTOCOM	Sim.  

MIGUEL	Claro. Vamos deixar ele descansar. 

MÉDICO	Tá certo. (RISO)

MIGUEL	Obrigado, doutor. 

MÉDICO	Com licença. 

MIGUEL	(REAC) 

PONTOCOM	Gabi, você cuida do Teobaldo "pra" (para) mim? 

MIGUEL	(REAC) 

PONTOCOM	(RISO)  

LUIZA	Yan, meu amor, é a mamãe. Eu não consegui te ligar antes, porque eu fiquei sem bateria, mas eu já, já estou de volta, tá? Eu te amo, te amo, te amo, te amo muito. (REAC AFLITA) (REAC) Desliga o barco. (REAC) 

NATALIE	O quê é que foi? 

LUIZA	Eu sei que a gente não teve um dia fácil, mas a gente tá muito perto de conseguir o que a gente quer. Esse acordo, ele não vai ser assinado. 

ANDRÉ	A Luiza tá certa. 

NATALIE	Só tem um caminho, a gente precisa invadir aquele jantar. 

VERÔNICA	(REAC)  

LUIZA	(REAC) 

