86,YORK,"Hey, judge ordered 'em alive.",29,0.58
87,BRITT,"Well, Nate didn't know that.",28,0.56
88,YORK,I have something for you.,25,0.5
89,YORK,"Here you go, Marshal, you deserve it. You get 'em all at once?",62,1.24
90,BRITT,Yep. I need you to bury 'em for me.,35,0.7
91,YORK,"I can do that for a price, everything for a price. I'll take their guns... ...and the horses.",93,1.86
92,BRITT,Don't matter to me. Wire the Sheriff. He'll get word to the judge.,66,1.32
93,YORK,"Marshal, that hangman's kid's gonna starve if you don't get out of this business.",81,1.62
94,SILAS,"Hey Jed, we been ridin' for a while.",36,0.72
95,JED,Come on! We'll make it to the hills before dark.,48,0.96
96,CASS,"We have the direction of where we're going from here, Jed.",58,1.16
97,JED,"Heading south, into Sioux territory.",36,0.72
98,CASS,"South, I like that, Mexico.",27,0.54
99,SILAS,"Them hills are close enough, holdin' up here 10 minutes won't hurt.",67,1.34
100,JED,Get back.,9,0.18
101,JED,Thought you'd be tougher.,25,0.5
102,CHAD,I never walked this far before.,31,0.62
103,JED,"You wouldn't be walking at all if your pa had been back home looking after you. Instead, he left you with some old coot to get kidnapped. Things went as they was planned, your pa would be dead, you'd be an orphan.",213,4.26
104,CASS,Let's hurry up with that plan.,30,0.6
105,JED,Get up.,7,0.14
106,WILLIE,Catch up with Blade over yonder.,32,0.64
107,SHERIFF,Britt.,6,0.12
108,BRITT,What's goin' on?,16,0.32
109,SHERIFF,It's your pa.,13,0.26
110,BRITT,Pa.,3,0.06
111,DEX,"Hey, Britt.",11,0.22
112,BRITT,"You don't look too good, pa.",28,0.56
113,DEX,Oh. Nothin' a little whiskey don't fix.,39,0.78
114,BRITT,What happened?,14,0.28
115,DEX,"Oh, uh... There were five or six of 'em and I-- I tried to...",61,1.22
116,DEX,I-- I just passed out.,22,0.44
117,BRITT,Chad. Chad!,11,0.22
118,BRITT,Chad?,5,0.1
119,SHERIFF,"It's not Chad, Britt. It's Albert Hansen, Jack's boy.",53,1.06
120,BRITT,Where's Chad?,13,0.26
121,SHERIFF,"We don't know. I rode out here this mornin', 'cause Dex was supposed to pick up an order from the mercantile yesterday.",119,2.38
122,SHERIFF,"But he never showed up. Starr asked me to check up on him, found him unconscious along the Signal Road.",103,2.06
123,DEX,"I tried to saddle up and I just tried to get in town. Um, uh.",61,1.22
124,BRITT,How long ago did it happen?,27,0.54
125,DEX,Three days ago.,15,0.3
126,SHERIFF,We looked everywhere for Chad. I got a whole search party out looking from him now. We'll find him.,99,1.98
127,BRITT,"If he escaped from whatever happened here, he would've come back by now.",72,1.44
128,SHERIFF,I telegraphed to Sheridan to see if they had any activity.,58,1.16
129,BRITT,Jed Blake.,10,0.2
130,SHERIFF,"Yeah. Robbed a stage on the Laramie trail, and the bank in Casper. You know him?",80,1.6
131,BRITT,I put him away five years ago.,30,0.6
132,SHERIFF,Yep.,4,0.08
133,BRITT,He's got five more ahead of him. Escaped last month with his man. Cass Gibbs.,77,1.54
